,Presupuesto de Proyecto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El usuario debe completar solo las celdas no sombreadas.,,,,,,Mano de Obra,,,Materiales,,,Costos Fijos,,,Balance,,,,,,,,,,,,,,,,,,,,,,,,
,TAREA,DESCRIPCION,ESTADO,FECHA INICIO PLANIFICADA,FECHA INICIO REAL,FECHA FIN,HORAS,VALOR HORA,TOTAL MANO DE OBRA,UNIDADES,VALOR UNIDAD,TOTAL MATERIALES,VIAJES,EQUIPOS,MISCELANEOS,PRESUPUESTO,REAL,Diferencia (Menos / Más del Presupuesto),,,,,,,,,,,,,,,,,,,,,,
,FACE CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constitución del acta de inicio.,Documento que formaliza el inicio del proyecto,Complete,,8/31/2025,08/31/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 , $200.00 ," $20,000,000 "," $19,999,800 ",,,,,,,,,,,,,,,,,,,,,,
,Conformación del Equipo de trabajo.,Selección y organización del equipo responsable,Complete,,08/31/25,09/13/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $1,500.00 "," $20,000,000 "," $19,998,500 ",,,,,,,,,,,,,,,,,,,,,,
,Explicación de la idea.,Presentación del concepto principal del proyecto,Complete,,09/13/25,09/20/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 , $100.00 ," $20,000,000 "," $19,999,900 ",,,,,,,,,,,,,,,,,,,,,,
,Presentación y Asignación de actividades.,Distribución de roles y tareas,Complete,,09/20/25,09/27/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $2,040.00 "," $20,000,000 "," $19,997,960 ",,,,,,,,,,,,,,,,,,,,,,
,Levantamiento de información,Recopilación de datos necesarios,Complete,,09/27/25,09/27/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $12,500.00 "," $20,000,000 "," $19,987,500 ",,,,,,,,,,,,,,,,,,,,,,
,Diseño,Creación de la estructura del sistema,In Progress,,09/27/25,10/04/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $10,810.00 "," $20,000,000 "," $19,989,190 ",,,,,,,,,,,,,,,,,,,,,,
,Análisis.,Evaluación de requisitos y alternativas,In Progress,,10/04/25,10/11/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $13,324.00 "," $20,000,000 "," $19,986,676 ",,,,,,,,,,,,,,,,,,,,,,
,Toma de decisiones y ajuste.,Definición final de cambios y mejoras,Complete,,10/11/25,10/18/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $15,838.00 "," $20,000,000 "," $19,984,162 ",,,,,,,,,,,,,,,,,,,,,,
,Programación del Código fuente,Desarrollo del software,In Progress,,10/18/25,10/25/25,40.0,"$500,000.00 ","$20,000,000 ",2.0,"$5,000,000.00 ","$10,000,000 ",$0 ,$0 ,$0 ," $18,352.00 "," $30,000,000 "," $29,981,648 ",,,,,,,,,,,,,,,,,,,,,,
,Tipos de requerimientos,Clasificación de requisitos funcionales y no funcionales,Approved,,10/25/25,11/01/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $20,866.00 "," $20,000,000 "," $19,979,134 ",,,,,,,,,,,,,,,,,,,,,,
,Cargo inicial,Asignación de responsabilidades y presupuesto,Approved,,11/01/25,11/08/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $23,380.00 "," $20,000,000 "," $19,976,620 ",,,,,,,,,,,,,,,,,,,,,,
,Pruebas funcionales,Validación del funcionamiento básico,In Progress,,11/08/25,11/15/25,40.0,"$500,000.00 ","$20,000,000 ",3.0,"$1,000,000.00 ","$3,000,000 ",$0 ,$0 ,$0 ," $25,894.00 "," $23,000,000 "," $22,974,106 ",,,,,,,,,,,,,,,,,,,,,,
,Integración,Unión de módulos y componentes,In Progress,,11/15/25,11/15/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $28,408.00 "," $20,000,000 "," $19,971,592 ",,,,,,,,,,,,,,,,,,,,,,
,Configuración con el servidor,Ajuste y conexión del sistema con el servidor,In Progress,,11/15/25,11/15/25,40.0,"$500,000.00 ","$20,000,000 ",1.0,"$7,000,000.00 ","$7,000,000 ",$0 ,$0 ,$0 ," $30,922.00 "," $27,000,000 "," $26,969,078 ",,,,,,,,,,,,,,,,,,,,,,
,Pruebas funcionales con el servidor,Validación en entorno servidor,In Progress,,11/15/25,11/22/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $33,436.00 "," $20,000,000 "," $19,966,564 ",,,,,,,,,,,,,,,,,,,,,,
,Pruebas funcionales de integración.,Verificación de integración de todos los módulos,In Progress,,11/22/25,11/22/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $35,950.00 "," $20,000,000 "," $19,964,050 ",,,,,,,,,,,,,,,,,,,,,,
,Puesta en operación.,Lanzamiento del sistema,In Progress,,11/22/25,11/22/25,40.0,"$500,000.00 ","$20,000,000 ",0.0,$0.00 ,$0 ,$0 ,$0 ,$0 ," $38,464.00 "," $20,000,000 "," $19,961,536 ",,,,,,,,,,,,,,,,,,,,,,
